pitch_name,release_extension,release_pos_x,release_pos_y,release_pos_z,release_speed,release_spin_rate,spin_axis,plate_x,plate_z,pfx_x,pfx_z,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,stand,sz_top,sz_bot,swing
4-Seam Fastball,6.8,-2.65,53.75,5.94,94.3,2289.0,214.0,0.83,3.24,-0.38,1.2,1,2,0,0,0,0,L,3.02,1.46,1
4-Seam Fastball,6.5,-2.75,54.04,6.02,92.8,2410.0,203.0,0.14,4.86,-0.39,1.37,0,2,0,0,0,0,L,3.23,1.66,0
Knuckle Curve,6.6,-2.77,53.9,5.77,83.0,2556.0,30.0,0.19,-0.5,0.2,-1.02,0,1,0,0,0,0,L,3.02,1.46,1
4-Seam Fastball,6.5,-2.75,53.99,6.0,92.3,2398.0,200.0,-0.71,2.87,-0.36,1.44,0,0,0,0,0,0,L,3.02,1.46,1
Changeup,6.5,-2.91,53.96,5.75,89.6,1634.0,233.0,-1.0,2.12,-1.2,0.35,1,1,0,0,0,2,L,3.23,1.55,1
4-Seam Fastball,6.5,-2.58,53.97,5.92,94.6,2289.0,207.0,0.32,3.93,-0.18,1.27,0,1,0,0,0,2,L,3.53,1.86,0
4-Seam Fastball,6.7,-2.75,53.84,5.79,94.9,2273.0,208.0,-0.68,1.85,-0.29,1.32,0,0,0,0,0,2,L,3.63,1.76,0
4-Seam Fastball,6.4,-2.81,54.14,5.95,94.3,2244.0,206.0,-0.47,3.25,-0.27,1.44,1,2,0,0,1,0,R,3.29,1.57,1
4-Seam Fastball,6.5,-2.96,54.01,5.86,94.1,2327.0,209.0,-0.54,2.48,-0.22,1.48,1,1,0,0,1,0,R,3.29,1.57,1
4-Seam Fastball,6.4,-2.97,54.1,5.93,93.7,2290.0,209.0,-1.37,2.66,-0.33,1.49,0,1,0,0,1,0,R,3.5,1.66,0
4-Seam Fastball,6.6,-2.73,53.92,5.85,94.6,2441.0,208.0,0.08,3.91,-0.42,1.41,0,0,0,0,1,0,R,3.29,1.57,1
4-Seam Fastball,6.7,-2.86,53.8,5.79,95.5,2348.0,213.0,-0.6,3.01,-0.33,1.27,3,2,0,0,0,0,L,3.17,1.46,1
Knuckle Curve,6.6,-2.84,53.94,5.8,84.8,2550.0,35.0,-0.04,0.9,0.22,-1.09,2,2,0,0,0,0,L,3.4,1.63,0
4-Seam Fastball,6.6,-2.76,53.92,5.9,94.3,2178.0,208.0,-0.83,3.07,-0.26,1.36,2,1,0,0,0,0,L,3.43,1.56,0
4-Seam Fastball,6.5,-2.89,54.03,5.92,94.5,2156.0,208.0,-0.66,3.39,-0.31,1.29,1,1,0,0,0,0,L,3.33,1.59,0
Knuckle Curve,6.5,-2.82,53.96,5.81,85.1,2645.0,40.0,0.4,0.83,0.67,-0.89,0,1,0,0,0,0,L,3.43,1.66,0
4-Seam Fastball,6.3,-2.95,54.19,5.92,95.2,2395.0,211.0,-1.03,2.99,-0.54,1.4,0,0,0,0,0,0,L,3.4,1.63,0
4-Seam Fastball,6.4,-2.64,54.06,5.99,92.4,2272.0,199.0,-0.18,2.77,-0.35,1.48,1,1,1,0,1,1,R,3.37,1.52,1
Knuckle Curve,6.2,-2.86,54.29,5.89,81.1,2492.0,34.0,-0.17,2.4,0.31,-0.8,1,0,1,0,1,1,R,3.37,1.52,1
Knuckle Curve,6.2,-2.81,54.31,5.87,82.2,2414.0,31.0,0.3,1.35,0.04,-0.83,0,0,1,0,1,1,R,3.41,1.55,0
Changeup,6.3,-2.95,54.18,5.68,85.8,1461.0,218.0,-0.38,1.38,-1.27,0.47,1,2,0,1,1,0,L,3.16,1.49,1
4-Seam Fastball,6.5,-2.74,54.02,5.91,92.9,2278.0,210.0,-0.22,1.93,-0.37,1.43,1,1,0,1,1,0,L,3.19,1.36,0
Changeup,6.5,-2.9,54.04,5.74,85.9,1437.0,225.0,-0.16,2.53,-1.28,0.77,1,0,0,1,1,0,L,3.16,1.49,1
4-Seam Fastball,6.5,-2.68,54.02,5.99,92.9,2230.0,209.0,0.44,4.62,-0.28,1.42,0,0,0,1,1,0,L,3.27,1.49,0
Knuckle Curve,6.3,-2.68,54.18,5.94,81.1,2418.0,32.0,-0.14,2.62,0.08,-0.84,1,1,0,0,1,0,R,3.44,1.54,1
4-Seam Fastball,6.5,-2.68,53.97,6.07,91.7,2231.0,200.0,-0.74,2.85,-0.25,1.39,1,0,0,0,1,0,R,3.44,1.54,1
4-Seam Fastball,6.4,-2.47,54.09,6.03,91.3,2200.0,202.0,-0.11,3.85,-0.09,1.26,0,0,0,0,1,0,R,3.65,1.63,0
4-Seam Fastball,6.4,-2.52,54.09,6.06,91.9,2097.0,194.0,-0.49,4.51,-0.13,1.44,3,2,0,0,0,0,R,3.51,1.68,0
Knuckle Curve,6.2,-2.75,54.26,5.92,81.0,2446.0,29.0,-0.6,0.89,0.27,-0.72,2,2,0,0,0,0,R,3.51,1.65,0
4-Seam Fastball,6.4,-2.57,54.07,6.04,91.0,2134.0,202.0,-1.07,3.09,-0.45,1.53,2,1,0,0,0,0,R,3.57,1.7,1
Knuckle Curve,6.3,-2.67,54.22,5.95,80.6,2408.0,34.0,-0.09,2.14,0.11,-0.64,2,0,0,0,0,0,R,3.46,1.65,0
Knuckle Curve,6.3,-2.74,54.22,6.06,79.8,2361.0,35.0,-1.52,2.25,0.03,-0.84,1,0,0,0,0,0,R,3.49,1.7,0
4-Seam Fastball,6.4,-2.59,54.12,6.1,90.6,2298.0,200.0,0.4,3.64,-0.29,1.46,0,0,0,0,0,0,R,3.54,1.78,0
Knuckle Curve,6.5,-2.56,54.0,5.88,80.3,2400.0,30.0,0.3,0.99,-0.02,-1.08,1,2,0,0,0,2,R,3.59,1.79,1
4-Seam Fastball,6.4,-2.62,54.12,6.03,92.2,2214.0,196.0,-0.43,3.06,0.0,1.43,1,1,0,0,0,2,R,3.59,1.79,1
4-Seam Fastball,6.3,-2.71,54.22,5.99,91.4,2207.0,197.0,-0.22,3.56,0.0,1.48,1,0,0,0,0,2,R,3.59,1.79,1
Knuckle Curve,6.2,-2.67,54.32,5.93,80.0,2402.0,34.0,-1.32,2.81,0.19,-1.12,0,0,0,0,0,2,R,3.59,1.81,0
4-Seam Fastball,6.3,-2.61,54.2,6.06,91.4,2263.0,192.0,0.71,3.06,0.21,1.28,2,1,0,0,0,1,R,3.22,1.46,1
Knuckle Curve,6.1,-2.67,54.4,5.92,81.0,2421.0,34.0,-0.83,0.88,0.08,-0.9,2,0,0,0,0,1,R,3.22,1.46,1
4-Seam Fastball,6.4,-2.4,54.06,6.08,91.7,2222.0,193.0,1.5,1.74,0.01,1.43,1,0,0,0,0,1,R,3.27,1.46,0
4-Seam Fastball,6.2,-2.84,54.28,6.0,91.9,2234.0,200.0,-0.85,1.37,-0.29,1.39,0,0,0,0,0,1,R,3.33,1.55,0
4-Seam Fastball,6.3,-2.68,54.16,6.05,91.3,2302.0,199.0,0.29,3.25,-0.17,1.43,0,1,0,0,0,0,L,3.17,1.5,1
Changeup,6.2,-2.89,54.26,5.85,85.7,1536.0,221.0,-0.01,1.68,-0.96,0.75,0,0,0,0,0,0,L,3.27,1.63,0
4-Seam Fastball,6.3,-2.6,54.17,6.0,93.8,2286.0,203.0,-1.37,3.95,-0.26,1.45,1,2,1,0,1,2,R,3.45,1.6,1
4-Seam Fastball,6.4,-2.66,54.14,5.99,93.6,2260.0,201.0,-0.35,3.56,-0.36,1.49,1,1,1,0,1,2,R,3.45,1.6,1
4-Seam Fastball,6.4,-2.56,54.09,5.98,94.3,2364.0,209.0,0.13,2.06,-0.38,1.59,1,0,1,0,1,2,R,3.54,1.65,0
4-Seam Fastball,6.5,-2.63,54.0,5.93,94.6,2296.0,200.0,0.84,1.72,-0.52,1.55,0,0,1,0,1,2,R,3.65,1.71,0
Knuckle Curve,6.3,-2.78,54.21,5.89,82.1,2433.0,23.0,-0.37,1.52,0.03,-0.66,0,0,0,0,1,2,L,3.19,1.5,1
Knuckle Curve,6.4,-2.73,54.15,5.93,81.6,2479.0,34.0,-0.05,1.27,0.18,-0.67,3,2,0,0,0,2,R,3.35,1.52,0
Changeup,6.4,-3.11,54.07,5.75,86.6,1461.0,218.0,-0.82,0.83,-1.41,0.23,2,2,0,0,0,2,R,3.49,1.63,0
Knuckle Curve,6.3,-2.79,54.24,5.91,82.2,2485.0,25.0,0.27,-0.14,0.17,-0.97,1,2,0,0,0,2,R,3.43,1.57,0
Knuckle Curve,6.2,-2.77,54.31,5.93,82.1,2482.0,34.0,-0.03,1.47,0.25,-1.13,1,1,0,0,0,2,R,3.37,1.52,1
4-Seam Fastball,6.4,-2.71,54.15,6.05,92.4,2285.0,201.0,0.09,3.28,-0.14,1.52,1,0,0,0,0,2,R,3.37,1.52,1
4-Seam Fastball,6.4,-2.46,54.09,6.02,92.0,2245.0,198.0,0.97,1.78,0.03,1.59,0,0,0,0,0,2,R,3.49,1.57,0
Cutter,6.4,-2.84,54.15,5.9,90.3,2292.0,215.0,0.7,2.53,-0.14,0.8,0,0,0,1,0,2,L,3.16,1.49,1
Cutter,6.1,-2.88,54.4,5.84,86.5,2467.0,135.0,0.03,2.25,0.54,0.17,0,0,0,0,1,2,R,3.44,1.54,1
4-Seam Fastball,6.4,-2.62,54.09,6.04,92.3,2291.0,198.0,-0.59,3.84,-0.07,1.62,1,2,0,0,1,1,R,3.57,1.7,1
Knuckle Curve,6.2,-2.69,54.25,5.93,80.9,2502.0,33.0,-1.21,1.11,0.33,-1.13,0,2,0,0,1,1,R,3.54,1.73,0
4-Seam Fastball,6.3,-2.6,54.19,6.03,92.3,2151.0,198.0,-0.76,3.55,-0.08,1.38,0,1,0,0,1,1,R,3.57,1.7,1
4-Seam Fastball,6.3,-2.61,54.23,5.99,91.7,2178.0,201.0,-0.3,3.51,-0.02,1.46,0,0,0,0,1,1,R,3.62,1.73,0
Cutter,6.1,-2.86,54.38,5.79,87.2,2268.0,142.0,0.36,1.93,0.35,0.22,0,0,0,0,0,1,R,3.59,1.79,1
4-Seam Fastball,6.4,-2.57,54.13,6.09,91.3,2281.0,203.0,0.57,3.23,-0.02,1.45,0,1,0,0,0,0,R,3.22,1.46,1
4-Seam Fastball,6.4,-2.8,54.09,6.05,91.1,2175.0,202.0,-0.23,2.75,-0.2,1.45,0,0,0,0,0,0,R,3.33,1.52,0
Knuckle Curve,6.2,-2.89,54.29,5.92,81.8,2434.0,34.0,-0.81,1.52,0.25,-1.1,3,2,0,0,1,2,L,3.17,1.5,1
Knuckle Curve,6.1,-2.87,54.36,5.82,81.2,2503.0,27.0,0.36,0.54,0.05,-1.0,2,2,0,0,1,2,L,3.17,1.57,0
Knuckle Curve,6.2,-2.75,54.34,5.9,81.4,2419.0,33.0,0.2,0.36,0.27,-0.95,1,2,0,0,1,2,L,3.11,1.52,0
Changeup,6.0,-3.06,54.51,5.81,84.5,1400.0,229.0,-0.31,1.96,-1.32,0.47,1,1,0,0,1,2,L,3.17,1.5,1
Changeup,6.0,-3.01,54.5,5.84,85.4,1451.0,219.0,-1.11,3.37,-1.02,0.39,0,1,0,0,1,2,L,3.25,1.6,0
Knuckle Curve,6.3,-2.77,54.24,5.93,81.5,2416.0,33.0,0.19,1.35,0.06,-0.7,0,0,0,0,1,2,L,3.17,1.5,1
4-Seam Fastball,6.3,-2.53,54.18,6.09,93.1,2204.0,199.0,0.41,2.66,0.01,1.56,0,0,1,0,1,1,R,3.45,1.6,1
Knuckle Curve,6.1,-2.74,54.44,5.91,82.0,2453.0,27.0,0.12,1.78,0.25,-0.93,1,2,0,1,0,1,L,3.19,1.5,1
Knuckle Curve,6.1,-2.84,54.39,5.9,82.2,2450.0,29.0,-0.04,1.31,0.3,-0.88,0,2,0,1,0,1,L,3.3,1.6,0
Knuckle Curve,6.1,-2.8,54.37,5.89,81.7,2471.0,25.0,0.75,1.42,0.32,-0.94,0,1,0,1,0,1,L,3.19,1.5,1
Knuckle Curve,6.1,-2.74,54.38,5.96,81.9,2482.0,28.0,-0.37,2.29,0.34,-0.82,0,0,0,1,0,1,L,3.19,1.5,1
4-Seam Fastball,6.4,-2.66,54.1,5.97,92.6,2233.0,209.0,0.45,2.27,-0.19,1.52,3,1,0,0,0,1,R,3.37,1.52,1
4-Seam Fastball,6.3,-2.71,54.15,6.07,91.9,2189.0,207.0,-0.45,3.51,-0.18,1.49,3,0,0,0,0,1,R,3.49,1.6,0
Knuckle Curve,6.2,-2.66,54.33,6.01,80.0,2391.0,32.0,0.16,0.93,0.17,-1.08,2,0,0,0,0,1,R,3.43,1.57,0
4-Seam Fastball,6.3,-2.64,54.18,6.01,90.8,2174.0,204.0,1.0,2.6,0.01,1.64,1,0,0,0,0,1,R,3.49,1.6,0
4-Seam Fastball,6.3,-2.61,54.17,6.01,92.2,2190.0,200.0,1.52,2.57,-0.01,1.51,0,0,0,0,0,1,R,3.51,1.63,0
Changeup,6.2,-3.0,54.29,5.88,84.0,1525.0,228.0,-0.5,1.9,-1.22,0.27,1,1,0,0,0,0,L,3.16,1.49,1
Changeup,6.0,-3.04,54.54,5.9,84.6,1526.0,222.0,-1.06,2.69,-1.31,0.44,0,1,0,0,0,0,L,3.25,1.57,0
4-Seam Fastball,6.1,-2.76,54.35,6.1,90.8,2230.0,202.0,-0.24,2.97,-0.18,1.34,0,0,0,0,0,0,L,3.33,1.63,0
Cutter,6.2,-2.82,54.32,5.92,87.0,2285.0,148.0,0.65,2.03,0.5,0.27,0,0,0,0,0,2,R,3.44,1.54,1
4-Seam Fastball,6.3,-2.81,54.19,6.04,92.0,2228.0,195.0,-0.28,2.74,0.08,1.21,3,2,0,0,0,1,R,3.57,1.7,1
4-Seam Fastball,6.3,-2.76,54.21,6.1,90.9,2218.0,195.0,-0.99,4.25,0.03,1.36,2,2,0,0,0,1,R,3.59,1.73,0
4-Seam Fastball,6.3,-2.58,54.16,6.12,92.3,2229.0,200.0,0.02,3.13,0.05,1.54,2,1,0,0,0,1,R,3.57,1.7,1
4-Seam Fastball,6.3,-2.67,54.23,6.11,91.3,2286.0,197.0,1.23,3.0,-0.06,1.51,1,1,0,0,0,1,R,3.67,1.76,0
Knuckle Curve,6.1,-2.81,54.43,6.07,79.5,2371.0,31.0,-0.58,2.24,0.21,-1.13,1,0,0,0,0,1,R,3.57,1.7,1
4-Seam Fastball,6.2,-2.72,54.26,6.08,92.2,2173.0,201.0,0.82,4.41,-0.18,1.73,0,0,0,0,0,1,R,3.65,1.76,0
Knuckle Curve,6.1,-2.82,54.45,5.98,80.0,2527.0,28.0,-0.52,0.38,0.13,-1.19,0,2,0,0,0,0,R,3.59,1.79,1
Knuckle Curve,6.1,-2.89,54.4,6.04,81.5,2474.0,31.0,-0.44,1.27,0.06,-0.86,0,1,0,0,0,0,R,3.59,1.79,1
4-Seam Fastball,6.2,-2.96,54.3,6.09,91.1,2209.0,206.0,-0.05,2.31,-0.16,1.4,0,0,0,0,0,0,R,3.59,1.79,1
Knuckle Curve,6.3,-2.75,54.23,5.97,81.3,2512.0,31.0,0.28,0.86,0.32,-1.05,1,2,1,1,0,2,R,3.22,1.46,1
Knuckle Curve,6.2,-2.79,54.29,5.96,82.7,2551.0,30.0,0.66,1.35,0.19,-1.07,1,1,1,1,0,2,R,3.22,1.46,1
4-Seam Fastball,6.2,-2.58,54.27,6.1,93.4,2388.0,202.0,0.71,3.11,-0.11,1.44,1,0,1,1,0,2,R,3.19,1.46,0
4-Seam Fastball,6.2,-2.61,54.28,6.13,93.1,2305.0,198.0,0.17,4.93,0.02,1.27,0,0,1,1,0,2,R,3.3,1.52,0
Knuckle Curve,6.1,-2.86,54.42,5.93,81.8,2465.0,31.0,-1.07,2.38,0.26,-0.89,0,0,1,0,1,2,L,3.17,1.5,1
4-Seam Fastball,6.1,-2.84,54.44,6.07,92.6,2308.0,206.0,-1.2,3.46,-0.43,1.5,0,1,0,0,1,2,R,3.45,1.6,1
4-Seam Fastball,6.3,-2.79,54.24,5.99,92.7,2191.0,200.0,-0.23,2.42,-0.26,1.28,0,0,0,0,1,2,R,3.7,1.71,0
Cutter,6.0,-3.02,54.47,5.85,89.1,2455.0,191.0,0.09,2.07,0.39,0.55,0,2,0,0,0,2,L,3.19,1.5,1
Knuckle Curve,6.0,-2.82,54.49,5.93,81.8,2552.0,22.0,-0.44,1.59,0.26,-1.06,0,1,0,0,0,2,L,3.3,1.55,0
Knuckle Curve,6.0,-2.85,54.49,5.96,80.9,2570.0,23.0,-0.76,1.0,0.08,-1.13,0,0,0,0,0,2,L,3.19,1.5,1
4-Seam Fastball,6.2,-2.73,54.34,6.04,92.3,2288.0,190.0,0.87,3.12,0.14,1.6,2,2,0,0,0,1,R,3.43,1.55,0
Cutter,6.0,-2.98,54.45,5.92,89.3,2318.0,189.0,-0.1,2.43,0.32,0.82,2,1,0,0,0,1,R,3.46,1.6,0
Knuckle Curve,6.1,-2.81,54.45,5.93,81.9,2563.0,31.0,0.23,1.29,0.03,-1.01,1,1,0,0,0,1,R,3.46,1.6,0
Knuckle Curve,6.0,-2.9,54.47,5.99,80.9,2544.0,33.0,0.09,1.53,0.07,-1.06,0,1,0,0,0,1,R,3.37,1.68,0
Cutter,6.1,-2.85,54.4,5.95,88.8,2384.0,168.0,0.61,2.9,0.58,0.57,0,0,0,0,0,1,R,3.51,1.63,0
4-Seam Fastball,6.1,-2.85,54.37,6.13,91.4,2345.0,201.0,-0.24,2.79,-0.09,1.42,2,1,0,0,0,0,L,3.16,1.49,1
4-Seam Fastball,6.3,-2.93,54.25,6.03,92.6,2237.0,203.0,-1.04,1.95,-0.23,1.51,1,1,0,0,0,0,L,3.22,1.47,0
4-Seam Fastball,6.1,-2.79,54.36,6.08,91.1,2250.0,206.0,0.15,2.6,0.01,1.53,1,0,0,0,0,0,L,3.16,1.49,1
4-Seam Fastball,6.1,-2.93,54.38,6.14,90.0,2226.0,203.0,-0.55,4.0,-0.01,1.68,0,0,0,0,0,0,L,3.3,1.57,0
Knuckle Curve,6.6,-2.6,53.9,5.85,83.0,2420.0,29.0,-0.61,2.15,0.37,-1.13,1,2,0,1,0,2,R,3.52,1.67,1
4-Seam Fastball,6.9,-2.55,53.61,5.95,95.2,2389.0,203.0,-0.18,3.11,0.03,1.58,1,2,0,1,0,2,R,3.52,1.67,1
4-Seam Fastball,6.8,-2.78,53.68,5.83,94.5,2355.0,205.0,0.27,2.46,-0.09,1.35,1,1,0,1,0,2,R,3.52,1.77,0
Knuckle Curve,6.6,-2.56,53.91,5.93,82.9,2527.0,26.0,-0.19,1.85,0.46,-1.04,1,0,0,1,0,2,R,3.52,1.67,1
Knuckle Curve,6.7,-2.57,53.78,5.89,82.6,2470.0,26.0,0.14,0.87,0.4,-1.12,0,0,0,1,0,2,R,3.52,1.71,0
Knuckle Curve,6.5,-2.64,53.99,5.88,82.4,2395.0,33.0,-0.08,1.62,0.25,-1.1,2,2,0,0,1,1,R,3.45,1.67,1
Changeup,6.9,-2.79,53.63,5.72,88.6,1423.0,226.0,-0.8,2.0,-0.94,0.49,2,2,0,0,1,1,R,3.45,1.67,1
Knuckle Curve,6.7,-2.67,53.81,5.89,82.4,2569.0,28.0,-0.1,0.65,0.23,-1.12,1,2,0,0,1,1,R,3.45,1.67,0
Knuckle Curve,6.7,-2.63,53.83,5.87,83.7,2598.0,29.0,0.1,1.1,0.33,-0.85,1,2,0,0,1,1,R,3.45,1.67,1
4-Seam Fastball,6.7,-2.6,53.8,6.0,94.4,2432.0,204.0,0.4,2.4,-0.2,1.33,1,1,0,0,1,1,R,3.56,1.77,0
Knuckle Curve,6.5,-2.55,54.01,5.91,83.2,2428.0,36.0,0.35,3.47,0.3,-1.02,1,0,0,0,1,1,R,3.45,1.74,0
Knuckle Curve,6.6,-2.75,53.94,6.0,83.7,2370.0,34.0,-0.54,3.77,0.37,-0.96,0,0,0,0,1,1,R,3.56,1.74,0
4-Seam Fastball,6.7,-2.6,53.8,5.89,95.0,2245.0,199.0,-0.31,2.67,-0.04,1.38,3,2,0,0,0,1,L,3.19,1.6,1
4-Seam Fastball,6.8,-2.79,53.72,5.86,94.6,2300.0,203.0,-0.79,2.55,-0.21,1.36,3,1,0,0,0,1,L,3.19,1.6,1
4-Seam Fastball,6.8,-2.67,53.7,5.86,94.2,2261.0,211.0,0.36,1.74,-0.18,1.35,3,0,0,0,0,1,L,3.19,1.6,1
4-Seam Fastball,6.8,-2.67,53.71,5.91,95.0,2214.0,209.0,-0.83,1.39,-0.34,1.35,2,0,0,0,0,1,L,3.26,1.57,0
Changeup,6.6,-2.83,53.85,5.8,87.1,1371.0,219.0,-0.61,3.49,-0.75,0.57,1,0,0,0,0,1,L,3.29,1.61,0
4-Seam Fastball,6.3,-2.83,54.21,6.06,94.1,2318.0,202.0,-0.97,3.72,-0.3,1.3,0,0,0,0,0,1,L,3.39,1.74,0
Knuckle Curve,6.6,-2.56,53.91,5.87,83.0,2489.0,34.0,1.13,0.37,0.36,-1.01,2,2,0,0,0,0,L,3.31,1.59,1
4-Seam Fastball,6.7,-2.68,53.76,5.93,94.7,2432.0,203.0,-0.14,2.67,-0.18,1.6,2,2,0,0,0,0,L,3.31,1.59,1
Changeup,6.8,-2.85,53.74,5.81,87.7,1451.0,220.0,-0.91,1.97,-1.16,0.25,2,1,0,0,0,0,L,3.55,1.83,0
4-Seam Fastball,6.7,-2.49,53.81,5.96,93.0,2303.0,197.0,1.17,1.45,0.07,1.58,1,1,0,0,0,0,L,3.36,1.71,0
Changeup,6.7,-3.08,53.82,5.84,87.7,1602.0,221.0,-1.51,1.25,-1.31,0.23,0,1,0,0,0,0,L,3.49,1.77,0
4-Seam Fastball,6.7,-2.81,53.85,5.97,93.4,2288.0,205.0,-0.5,2.57,-0.07,1.55,0,0,0,0,0,0,L,3.52,1.74,0
4-Seam Fastball,6.7,-2.46,53.8,6.05,94.3,2383.0,206.0,0.25,3.03,-0.24,1.3,0,1,0,1,0,2,R,3.39,1.55,1
4-Seam Fastball,6.8,-2.55,53.68,6.03,94.6,2271.0,200.0,-0.17,3.15,-0.16,1.43,0,0,0,1,0,2,R,3.39,1.55,1
4-Seam Fastball,6.8,-2.67,53.68,5.94,93.7,2311.0,204.0,0.04,2.7,-0.1,1.31,0,1,0,0,0,2,R,3.47,1.63,1
4-Seam Fastball,6.6,-2.59,53.88,6.05,93.0,2232.0,202.0,0.51,2.55,-0.13,1.2,0,0,0,0,0,2,R,3.47,1.63,1
4-Seam Fastball,6.5,-2.64,53.98,6.05,94.2,2347.0,199.0,0.23,3.14,-0.04,1.54,1,1,0,0,1,0,L,3.59,1.7,1
4-Seam Fastball,6.3,-2.66,54.21,6.12,93.9,2236.0,199.0,-0.11,4.29,-0.23,1.46,0,1,0,0,1,0,L,3.66,1.74,0
4-Seam Fastball,6.5,-2.88,53.96,5.97,92.8,2212.0,204.0,-0.01,2.27,0.01,1.35,0,0,0,0,1,0,L,3.59,1.7,1
Knuckle Curve,6.6,-2.81,53.86,5.94,81.6,2438.0,36.0,-0.54,3.0,0.13,-0.89,3,2,0,0,0,0,R,3.5,1.6,1
4-Seam Fastball,6.6,-3.03,53.88,5.9,92.3,2193.0,208.0,-1.39,2.21,-0.08,1.15,2,2,0,0,0,0,R,3.5,1.71,0
Knuckle Curve,6.6,-2.8,53.9,6.0,81.1,2475.0,35.0,-0.53,1.97,0.49,-1.16,2,2,0,0,0,0,R,3.5,1.6,1
Knuckle Curve,6.6,-2.7,53.92,5.9,81.4,2515.0,30.0,0.63,-0.51,0.34,-0.94,1,2,0,0,0,0,R,3.5,1.67,0
Knuckle Curve,6.7,-2.77,53.82,5.95,81.0,2378.0,37.0,-1.01,2.63,0.35,-0.76,1,1,0,0,0,0,R,3.5,1.6,1
4-Seam Fastball,6.8,-2.57,53.7,6.09,92.4,2092.0,204.0,-0.18,2.39,-0.12,1.31,1,0,0,0,0,0,R,3.5,1.6,1
4-Seam Fastball,6.5,-2.95,53.96,6.11,91.6,2173.0,200.0,-1.9,3.46,-0.07,1.34,0,0,0,0,0,0,R,3.5,1.61,0
Cutter,6.7,-2.67,53.82,5.9,91.1,2423.0,163.0,0.62,2.78,0.12,0.51,0,1,1,0,0,2,L,3.48,1.58,1
Cutter,6.7,-2.71,53.77,5.92,90.4,2301.0,167.0,1.24,2.23,0.38,0.33,0,0,1,0,0,2,L,3.48,1.58,1
4-Seam Fastball,6.8,-2.59,53.7,5.98,93.4,2186.0,204.0,0.73,3.1,0.08,1.23,2,2,0,1,0,1,R,3.52,1.67,1
Knuckle Curve,6.6,-2.75,53.91,5.92,82.6,2507.0,28.0,-0.43,-0.1,0.1,-1.12,1,2,0,0,1,1,R,3.52,1.64,0
Knuckle Curve,6.6,-2.67,53.91,5.92,82.6,2475.0,28.0,0.28,1.3,0.06,-0.99,0,2,0,0,1,1,R,3.52,1.67,0
4-Seam Fastball,6.7,-2.84,53.81,5.92,94.2,2330.0,203.0,-0.65,2.45,-0.16,1.48,0,1,0,0,1,1,R,3.52,1.67,1
Knuckle Curve,6.8,-2.66,53.72,6.05,82.6,2462.0,40.0,0.78,2.51,0.2,-0.79,0,0,0,0,1,1,R,3.36,1.64,0
4-Seam Fastball,6.8,-2.57,53.69,6.04,93.5,2316.0,201.0,-0.15,2.47,-0.12,1.38,3,1,0,0,0,1,R,3.56,1.78,1
4-Seam Fastball,6.7,-2.7,53.82,6.12,93.0,2319.0,204.0,-0.54,4.03,-0.03,1.37,2,1,0,0,0,1,R,3.56,1.8,0
4-Seam Fastball,6.7,-2.56,53.82,6.15,92.9,2240.0,195.0,-0.03,2.7,-0.37,1.32,2,0,0,0,0,1,R,3.56,1.78,1
4-Seam Fastball,6.8,-2.52,53.74,6.04,93.6,2489.0,201.0,1.06,0.76,-0.11,1.53,1,0,0,0,0,1,R,3.56,1.8,0
4-Seam Fastball,6.8,-2.63,53.7,6.02,93.0,2423.0,204.0,0.75,1.54,-0.17,1.53,0,0,0,0,0,1,R,3.72,1.93,0
Cutter,6.3,-2.82,54.2,6.11,89.4,2365.0,184.0,-0.24,2.93,0.06,0.92,1,0,0,0,1,1,L,3.19,1.6,1
Cutter,6.3,-2.75,54.18,6.07,89.7,2257.0,180.0,1.0,2.55,0.2,0.85,0,0,0,0,1,1,L,3.33,1.57,0
4-Seam Fastball,6.5,-2.67,54.02,6.11,92.6,2258.0,201.0,0.49,3.7,-0.01,1.44,0,1,0,0,1,0,L,3.31,1.59,1
Changeup,6.7,-3.02,53.85,5.9,86.3,1432.0,219.0,-0.8,2.51,-0.75,0.96,0,0,0,0,1,0,L,3.31,1.59,1
4-Seam Fastball,6.7,-2.6,53.77,6.09,92.6,2325.0,207.0,0.85,2.36,0.03,1.48,0,1,0,0,0,0,R,3.39,1.55,1
4-Seam Fastball,6.6,-2.55,53.94,6.1,91.8,2243.0,198.0,0.84,3.25,-0.01,1.34,0,0,0,0,0,0,R,3.55,1.64,0
Knuckle Curve,6.7,-2.65,53.76,5.86,82.7,2554.0,31.0,0.7,0.38,0.55,-0.77,3,2,0,0,0,2,R,3.47,1.63,1
4-Seam Fastball,6.9,-2.52,53.63,6.07,94.2,2242.0,205.0,0.75,1.6,-0.2,1.5,2,2,0,0,0,2,R,3.5,1.67,0
4-Seam Fastball,6.9,-2.55,53.62,6.02,93.7,2286.0,203.0,0.51,1.48,-0.12,1.53,1,2,0,0,0,2,R,3.47,1.64,0
4-Seam Fastball,6.6,-2.61,53.92,6.12,93.7,2145.0,196.0,-0.16,4.3,-0.07,1.4,0,2,0,0,0,2,R,3.47,1.74,0
4-Seam Fastball,6.7,-2.55,53.84,6.05,93.6,2269.0,202.0,0.65,2.3,-0.1,1.42,0,1,0,0,0,2,R,3.59,1.74,0
