pitch_name,release_extension,release_pos_x,release_pos_y,release_pos_z,release_speed,release_spin_rate,spin_axis,plate_x,plate_z,pfx_x,pfx_z,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,stand,sz_top,sz_bot,swing
4-Seam Fastball,6.7,-2.75,53.81,5.88,94.2,2322.0,209.0,-0.74,2.1,-0.12,1.25,2,0,0,0,0,1,L,3.67,1.82,0
4-Seam Fastball,6.6,-2.7,53.93,5.91,93.9,2306.0,208.0,0.99,3.35,-0.31,1.36,1,0,0,0,0,1,L,3.68,1.82,0
4-Seam Fastball,6.6,-2.63,53.93,5.98,94.9,2215.0,207.0,-0.48,3.64,-0.13,1.34,0,0,0,0,0,1,L,3.63,1.81,0
4-Seam Fastball,6.7,-2.68,53.84,5.9,94.2,2173.0,202.0,-0.04,2.18,-0.28,1.36,2,1,0,0,0,0,R,3.14,1.49,1
Changeup,6.6,-2.85,53.94,5.82,87.1,1594.0,227.0,-0.6,1.16,-1.02,0.11,2,0,0,0,0,0,R,3.14,1.49,1
4-Seam Fastball,6.5,-2.65,53.98,6.02,93.6,2268.0,202.0,0.01,3.74,-0.11,1.4,1,0,0,0,0,0,R,3.2,1.49,0
Knuckle Curve,6.6,-2.69,53.95,5.93,83.0,2409.0,33.0,1.31,1.38,0.12,-0.55,0,0,0,0,0,0,R,3.17,1.46,0
4-Seam Fastball,6.4,-2.71,54.06,5.93,94.5,2194.0,205.0,0.06,2.19,-0.21,1.33,2,0,0,0,0,2,L,3.15,1.52,1
4-Seam Fastball,6.6,-2.72,53.94,5.94,94.3,2181.0,203.0,-1.01,2.47,-0.22,1.29,1,0,0,0,0,2,L,3.12,1.53,0
4-Seam Fastball,6.6,-2.56,53.86,5.91,94.2,2093.0,203.0,0.74,2.74,-0.18,1.32,0,0,0,0,0,2,L,3.12,1.51,0
Cutter,6.5,-2.85,54.05,5.82,89.6,2271.0,185.0,0.79,1.9,0.25,0.58,0,2,0,0,0,1,R,3.32,1.64,1
4-Seam Fastball,6.6,-2.5,53.9,6.04,93.9,2209.0,205.0,0.67,2.04,-0.46,1.3,0,1,0,0,0,1,R,3.25,1.74,0
4-Seam Fastball,6.5,-2.53,53.99,6.07,94.1,2228.0,206.0,0.58,3.25,-0.41,1.31,0,0,0,0,0,1,R,3.42,1.64,0
4-Seam Fastball,6.7,-2.66,53.8,6.02,93.2,2211.0,205.0,0.51,3.11,-0.33,1.35,0,0,0,0,0,0,L,3.46,1.61,1
Changeup,6.6,-2.88,53.91,5.72,87.2,1479.0,231.0,-0.4,1.54,-1.07,0.21,3,2,0,0,0,2,L,3.58,1.71,1
Changeup,6.6,-2.95,53.95,5.71,87.0,1581.0,232.0,-0.96,1.45,-1.2,0.09,3,2,0,0,0,2,L,3.58,1.71,1
Changeup,6.6,-3.03,53.94,5.79,86.3,1627.0,229.0,-1.63,1.57,-1.24,0.17,2,2,0,0,0,2,L,3.67,1.71,0
Knuckle Curve,6.6,-2.86,53.87,5.83,80.7,2377.0,29.0,0.8,0.21,0.46,-0.9,1,2,0,0,0,2,L,3.65,1.67,0
Changeup,6.7,-2.95,53.78,5.72,87.9,1536.0,225.0,-0.56,1.56,-1.0,0.34,1,1,0,0,0,2,L,3.58,1.71,1
Knuckle Curve,6.5,-2.84,53.99,5.86,85.2,2566.0,28.0,0.98,-0.57,0.19,-0.78,0,1,0,0,0,2,L,3.67,1.67,0
Knuckle Curve,6.5,-2.8,54.02,5.9,84.0,2404.0,39.0,0.75,1.7,0.05,-0.6,0,0,0,0,0,2,L,3.65,1.71,0
4-Seam Fastball,6.7,-2.81,53.83,5.99,94.6,2189.0,211.0,-0.76,1.91,-0.33,1.44,1,1,0,0,0,1,L,3.57,1.73,1
4-Seam Fastball,6.6,-2.75,53.92,5.98,95.0,2227.0,205.0,-0.19,1.49,-0.23,1.45,1,0,0,0,0,1,L,3.67,1.76,0
4-Seam Fastball,6.7,-2.71,53.77,5.9,96.0,2311.0,209.0,-0.27,0.37,-0.54,1.22,0,0,0,0,0,1,L,3.72,1.77,0
Knuckle Curve,6.5,-2.83,54.0,5.93,81.4,2244.0,42.0,-0.28,2.09,0.24,-0.76,1,0,0,0,1,1,L,3.13,1.57,1
